web-scraper-order,web-scraper-start-url,judul,tahun,durasi,age,rate
1718454606-1,https://www.imdb.com/chart/top/?ref_=nv_mv_250,1. The Shawshank Redemption,1994,2h 22m,18+,9.3 (2.9M)
1718454606-2,https://www.imdb.com/chart/top/?ref_=nv_mv_250,2. The Godfather,1972,2h 55m,18+,9.2 (2M)
1718454606-3,https://www.imdb.com/chart/top/?ref_=nv_mv_250,3. The Dark Knight,2008,2h 32m,R,9.0 (2.9M)
1718454606-4,https://www.imdb.com/chart/top/?ref_=nv_mv_250,4. The Godfather Part II,1974,3h 22m,18+,9.0 (1.4M)
1718454606-5,https://www.imdb.com/chart/top/?ref_=nv_mv_250,5. 12 Angry Men,1957,1h 36m,SU,9.0 (871K)
1718454606-6,https://www.imdb.com/chart/top/?ref_=nv_mv_250,6. Schindler's List,1993,3h 15m,R,9.0 (1.5M)
1718454606-7,https://www.imdb.com/chart/top/?ref_=nv_mv_250,7. The Lord of the Rings: The Return of the King,2003,3h 21m,A,9.0 (2M)
1718454606-8,https://www.imdb.com/chart/top/?ref_=nv_mv_250,8. Pulp Fiction,1994,2h 34m,17+,8.9 (2.2M)
1718454606-9,https://www.imdb.com/chart/top/?ref_=nv_mv_250,9. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,R,8.9 (2M)
1718454606-10,https://www.imdb.com/chart/top/?ref_=nv_mv_250,"10. Il buono, il brutto, il cattivo",1966,2h 41m,D,8.8 (815K)
1718454606-11,https://www.imdb.com/chart/top/?ref_=nv_mv_250,11. Forrest Gump,1994,2h 22m,21,8.8 (2.3M)
1718454606-12,https://www.imdb.com/chart/top/?ref_=nv_mv_250,12. The Lord of the Rings: The Two Towers,2002,2h 59m,A,8.8 (1.8M)
1718454606-13,https://www.imdb.com/chart/top/?ref_=nv_mv_250,13. Fight Club,1999,2h 19m,D17+,8.8 (2.3M)
1718454606-14,https://www.imdb.com/chart/top/?ref_=nv_mv_250,14. Inception,2010,2h 28m,D,8.8 (2.6M)
1718454606-15,https://www.imdb.com/chart/top/?ref_=nv_mv_250,15. Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7 (1.4M)
1718454606-16,https://www.imdb.com/chart/top/?ref_=nv_mv_250,16. The Matrix,1999,2h 16m,18+,8.7 (2.1M)
1718454606-17,https://www.imdb.com/chart/top/?ref_=nv_mv_250,17. Goodfellas,1990,2h 25m,17+,8.7 (1.3M)
1718454606-18,https://www.imdb.com/chart/top/?ref_=nv_mv_250,18. One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7 (1.1M)
1718454606-19,https://www.imdb.com/chart/top/?ref_=nv_mv_250,19. Se7en,1995,2h 7m,21,8.6 (1.8M)
1718454606-20,https://www.imdb.com/chart/top/?ref_=nv_mv_250,20. Interstellar,2014,2h 49m,R,8.7 (2.1M)
1718454606-21,https://www.imdb.com/chart/top/?ref_=nv_mv_250,21. It's a Wonderful Life,1946,2h 10m,13+,8.6 (501K)
1718454606-22,https://www.imdb.com/chart/top/?ref_=nv_mv_250,22. Shichinin no samurai,1954,3h 27m,Not Rated,8.6 (368K)
1718454606-23,https://www.imdb.com/chart/top/?ref_=nv_mv_250,23. The Silence of the Lambs,1991,1h 58m,D,8.6 (1.6M)
1718454606-24,https://www.imdb.com/chart/top/?ref_=nv_mv_250,24. Saving Private Ryan,1998,2h 49m,18+,8.6 (1.5M)
1718454606-25,https://www.imdb.com/chart/top/?ref_=nv_mv_250,25. Cidade de Deus,2002,2h 10m,R,8.6 (805K)
