web-scraper-start-url,Judul,Weekend Gross,Total Gross,Rate
https://www.imdb.com/chart/boxoffice/?ref_=nv_ch_cht,1. Inside Out 2,$154M,$177M,8.0 (17K)
https://www.imdb.com/chart/boxoffice/?ref_=nv_ch_cht,2. Bad Boys: Ride or Die,$34M,$116M,7.0 (20K)
https://www.imdb.com/chart/boxoffice/?ref_=nv_ch_cht,3. Kingdom of the Planet of the Apes,$5.5M,$159M,7.2 (53K)
https://www.imdb.com/chart/boxoffice/?ref_=nv_ch_cht,4. The Garfield Movie,$4.8M,$79M,5.8 (8.4K)
https://www.imdb.com/chart/boxoffice/?ref_=nv_ch_cht,5. IF,$3.6M,$102M,6.7 (14K)
https://www.imdb.com/chart/boxoffice/?ref_=nv_ch_cht,6. The Watchers,$3.5M,$14M,5.8 (7K)
https://www.imdb.com/chart/boxoffice/?ref_=nv_ch_cht,7. Furiosa: A Mad Max Saga,$2.6M,$64M,7.8 (85K)
https://www.imdb.com/chart/boxoffice/?ref_=nv_ch_cht,8. The Fall Guy,$1.6M,$88M,7.0 (102K)
https://www.imdb.com/chart/boxoffice/?ref_=nv_ch_cht,9. The Strangers: Chapter 1,$759K,$34M,4.7 (11K)
https://www.imdb.com/chart/boxoffice/?ref_=nv_ch_cht,10. The Lord of the Rings: The Fellowship of the Ring,$633K,$319M,8.9 (2M)
